"","swatch","animal_rating_us"
"1","BI2A00031",-2.9375
"2","BI2A00035",-2.9375
"3","BI2A00039",-2.9375
"4","BI2A00045",-2.9375
"5","BI2A00046",-2.9375
"6","BI2A00048",-2.9375
"7","BI2A00044",-2.875
"8","BI2A00038",-2.75
"9","BI2A00036",-2.625
"10","BI2A00037",-2.625
"11","BI2A00040",-2.625
"12","BI2A00042",-2.625
"13","BI2A00033",-2.5625
"14","BI2A00047",-2.5625
"15","BI2A00021",-2.4375
"16","BI2A00041",-2.3125
"17","BI2A00029",-2.25
"18","BI2A00030",-2.25
"19","BI2A00027",-2.125
"20","BI2A00034",-2
"21","BI2A00017",-1.9375
"22","BI2A00025",-1.9375
"23","BI2A00043",-1.6875
"24","BI2A00032",-1.5625
"25","BI2A00018",-1.5
"26","BI2A00022",-1.125
"27","BI2A00028",-0.875
"28","BI2A00023",-0.3125
"29","BI2A00026",-0.25
"30","BI2A00014",-0.1875
"31","BI2A00016",-0.125
"32","BI2A00010",0.125
"33","BI2A00020",0.25
"34","BI2A00012",0.8125
"35","BI2A00015",1.3125
"36","BI2A00013",1.375
"37","BI2A00024",1.625
"38","BI2A00001",1.6875
"39","BI2A00009",1.8125
"40","BI2A00008",1.875
"41","BI2A00019",1.875
"42","BI2A00004",2
"43","BI2A00011",2.0625
"44","BI2A00002",2.1875
"45","BI2A00003",2.3125
"46","BI2A00007",2.3125
"47","BI2A00006",2.375
"48","BI2A00005",2.4375
