"","condition","worker_id","education","english_native","ethnicity","gender","age","religion","comments","trialNum","swatch","response","responseCoded","rt","country"
"1","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",1,"BI2A00016","probably yes",2,5447,"india"
"2","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",2,"BI2A00027","definitely no",-3,3820,"india"
"3","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",3,"BI2A00003","definitely yes",3,1470,"india"
"4","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",4,"BI2A00047","definitely no",-3,2647,"india"
"5","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",5,"BI2A00041","definitely no",-3,1203,"india"
"6","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",6,"BI2A00037","definitely no",-3,3663,"india"
"7","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",7,"BI2A00043","definitely no",-3,1534,"india"
"8","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",8,"BI2A00019","probably yes",2,2325,"india"
"9","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",9,"BI2A00010","definitely yes",3,3425,"india"
"10","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",10,"BI2A00006","definitely yes",3,1185,"india"
"11","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",11,"BI2A00046","definitely no",-3,1467,"india"
"12","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",12,"BI2A00015","probably yes",2,3572,"india"
"13","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",13,"BI2A00039","definitely no",-3,1372,"india"
"14","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",14,"BI2A00035","definitely no",-3,940,"india"
"15","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",15,"BI2A00023","probably no",-2,3157,"india"
"16","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",16,"BI2A00025","definitely no",-3,1709,"india"
"17","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",17,"BI2A00005","definitely yes",3,1818,"india"
"18","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",18,"BI2A00020","probably no",-2,3656,"india"
"19","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",19,"BI2A00045","definitely no",-3,1219,"india"
"20","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",20,"BI2A00031","definitely no",-3,1508,"india"
"21","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",21,"BI2A00014","equally yes/no",0,2301,"india"
"22","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",22,"BI2A00022","maybe no",-1,2586,"india"
"23","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",23,"BI2A00032","probably no",-2,2282,"india"
"24","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",24,"BI2A00033","definitely no",-3,1284,"india"
"25","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",25,"BI2A00012","probably yes",2,3235,"india"
"26","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",26,"BI2A00002","definitely yes",3,1381,"india"
"27","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",27,"BI2A00040","definitely no",-3,1315,"india"
"28","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",28,"BI2A00013","probably yes",2,8685,"india"
"29","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",29,"BI2A00029","definitely no",-3,1683,"india"
"30","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",30,"BI2A00034","definitely no",-3,2108,"india"
"31","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",31,"BI2A00008","definitely yes",3,4706,"india"
"32","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",32,"BI2A00004","definitely yes",3,1370,"india"
"33","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",33,"BI2A00048","definitely no",-3,1390,"india"
"34","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",34,"BI2A00030","definitely no",-3,1163,"india"
"35","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",35,"BI2A00024","definitely yes",3,3493,"india"
"36","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",36,"BI2A00036","definitely no",-3,1420,"india"
"37","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",37,"BI2A00028","definitely no",-3,2527,"india"
"38","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",38,"BI2A00038","definitely no",-3,1084,"india"
"39","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",39,"BI2A00009","definitely yes",3,1719,"india"
"40","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",40,"BI2A00001","definitely yes",3,1307,"india"
"41","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",41,"BI2A00017","definitely no",-3,1696,"india"
"42","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",42,"BI2A00011","definitely yes",3,3346,"india"
"43","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",43,"BI2A00018","maybe yes",1,2989,"india"
"44","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",44,"BI2A00026","definitely yes",3,1650,"india"
"45","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",45,"BI2A00042","definitely no",-3,1860,"india"
"46","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",46,"BI2A00044","definitely no",-3,1403,"india"
"47","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",47,"BI2A00021","definitely no",-3,1007,"india"
"48","animal","AY3WQH3I3HT4D","college_some",NA,"white","male",23,"none","",48,"BI2A00007","definitely yes",3,1384,"india"
"49","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",1,"BI2A00039","definitely no",-3,2733,"india"
"50","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",2,"BI2A00025","maybe no",-1,3965,"india"
"51","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",3,"BI2A00015","definitely yes",3,1868,"india"
"52","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",4,"BI2A00030","probably no",-2,1855,"india"
"53","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",5,"BI2A00003","definitely yes",3,1583,"india"
"54","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",6,"BI2A00002","probably yes",2,1767,"india"
"55","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",7,"BI2A00033","definitely no",-3,1895,"india"
"56","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",8,"BI2A00023","definitely no",-3,1844,"india"
"57","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",9,"BI2A00035","definitely no",-3,1438,"india"
"58","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",10,"BI2A00029","equally yes/no",0,2426,"india"
"59","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",11,"BI2A00009","probably yes",2,1636,"india"
"60","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",12,"BI2A00010","maybe yes",1,1796,"india"
"61","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",13,"BI2A00036","definitely no",-3,1622,"india"
"62","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",14,"BI2A00017","probably no",-2,1749,"india"
"63","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",15,"BI2A00005","probably yes",2,1915,"india"
"64","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",16,"BI2A00022","maybe no",-1,2212,"india"
"65","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",17,"BI2A00024","probably no",-2,2728,"india"
"66","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",18,"BI2A00043","definitely no",-3,1912,"india"
"67","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",19,"BI2A00032","definitely no",-3,2284,"india"
"68","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",20,"BI2A00047","definitely no",-3,1303,"india"
"69","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",21,"BI2A00048","definitely no",-3,1253,"india"
"70","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",22,"BI2A00046","definitely no",-3,2210,"india"
"71","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",23,"BI2A00041","definitely no",-3,1821,"india"
"72","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",24,"BI2A00014","maybe yes",1,1726,"india"
"73","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",25,"BI2A00038","definitely no",-3,1349,"india"
"74","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",26,"BI2A00016","equally yes/no",0,1851,"india"
"75","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",27,"BI2A00001","equally yes/no",0,1464,"india"
"76","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",28,"BI2A00019","maybe yes",1,2065,"india"
"77","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",29,"BI2A00026","definitely no",-3,2272,"india"
"78","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",30,"BI2A00045","definitely no",-3,1316,"india"
"79","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",31,"BI2A00040","definitely no",-3,1934,"india"
"80","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",32,"BI2A00011","probably yes",2,1910,"india"
"81","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",33,"BI2A00018","definitely no",-3,1412,"india"
"82","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",34,"BI2A00006","definitely yes",3,1535,"india"
"83","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",35,"BI2A00027","definitely no",-3,1430,"india"
"84","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",36,"BI2A00008","definitely yes",3,1439,"india"
"85","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",37,"BI2A00028","probably yes",2,2028,"india"
"86","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",38,"BI2A00042","definitely no",-3,1871,"india"
"87","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",39,"BI2A00021","definitely no",-3,1351,"india"
"88","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",40,"BI2A00044","definitely no",-3,1311,"india"
